Name,Stock Qty,Cost,Total Amount,Category,Warehouse
L400,1,12,12,CANISTER ,
L300,31,14,434,CANISTER ,
C44,59,13,767,CANISTER ,
OPL-06,4,8.48,33.92,CANISTER ,
RHC5,91,9,819,CANISTER ,
RHC8,89,12.97,1154.33,CANISTER ,
Dome Canister solo,56,8.199999809,459.1999893,CANISTER ,
Triangle solo ,83,4,332,CANISTER ,
Oval Acetate ,66,6,396,CANISTER ,
500ml tub rectangle ,25,38,950,CANISTER ,
750ml tub ,26,46,1196,CANISTER ,
1000ml tub ,6,49.13999939,294.8399963,CANISTER ,
Acetate 8x8x9.5,1,98.6,98.6,CANISTER ,
Acetate 10x10x7,1,80,80,CANISTER ,
Acetate 10x10x10,1,95,95,CANISTER ,
Acetate 10x10x12,1,120,120,CANISTER ,
Acetate 12x12x7,1,105,105,CANISTER ,
Acetate 12x12x10,1,130,130,CANISTER ,
CK-12 Dome ,1,21,21,CANISTER ,In store
5x4x2 Tray ,1,31,31,CANISTER ,In store
8.6x6x2 Tray ,1,72,72,CANISTER ,In store
Acetate 6x6x7 box ,1,39,39,CANISTER ,In store
C40,79,11,869,CANISTER ,In store
Acetate 7.5x5x7 ,1,55,55,CANISTER ,In store
Acetate 8x8x6,1,75,75,CANISTER ,In store
C10,41,4.5,184.5,CANISTER ,In store
Acetate 8x8x12,1,109.2900009,109.2900009,CANISTER ,In store
C30,65,14,910,CANISTER ,In store
Sq Container ,11,4,44,CANISTER ,In store
C303,1,4.5,4.5,CANISTER ,In store
CK-06 Dome ,119,13,1547,CANISTER ,In store
Acetate 6x6x6,5,30,150,CANISTER ,In store
Acetate 6x4,5,0,0,CANISTER ,In store
Kraft Box Medium,2,4.559999943,9.119999886,CANISTER ,In store
Kraft Box Large,1,4,4,CANISTER ,In store
Dome 1,181,5,905,CANISTER ,In store
Heart Tin Can ,1,0,0,CANISTER ,In store
4's cupcake holder ,54,2,108,HOLDERS/STRAWS/EXTENDER/DOWEL,
6's cupcake holder ,166,3,498,HOLDERS/STRAWS/EXTENDER/DOWEL,
12's cupcake holder ,161,4.05,652.05,HOLDERS/STRAWS/EXTENDER/DOWEL,
"Extender ""15",45,3,135,HOLDERS/STRAWS/EXTENDER/DOWEL,
"Extender ""15 pack ",14,55,770,HOLDERS/STRAWS/EXTENDER/DOWEL,
"Extender ""20",78,2,156,HOLDERS/STRAWS/EXTENDER/DOWEL,
"Extender ""20 pack ",9,55,495,HOLDERS/STRAWS/EXTENDER/DOWEL,
Dowell plastic ,6,0,0,HOLDERS/STRAWS/EXTENDER/DOWEL,
Dowell wood,1,0,0,HOLDERS/STRAWS/EXTENDER/DOWEL,
